#;Материал;Дата включения (указывается с 01.01.2017)
1;"Музыкальный альбом ""Музыка белых"", автор - Музыкальная группа Order, решение вынесено Первомайским районным судом г. Омска от 23.11.2006;";
2;"Книга ""Книга единобожия"", автор - Мухаммад ибн Сулейман ат-Тамими, источник публикации - Некоммерческое партнерство ""Издательский дом ""Бадр"", решение вынесено Савеловским районным судом г. Москвы от 02.04.2004;";
3;"Письма Рады земли Кубанской духовно-родовой державы Русь, авторы - Н.М. Лозинский, В.М. Герасев, решение вынесено Первомайским районным судом г. Краснодара от 20.03.2006;";
4;"Печатные материалы в газете ""Для русских людей"" N 1(1), июнь 2002 г.; N 2 (2), август 2002 г.; N 3, октябрь 2002 г.; N 4, ноябрь 2002 г.; N 5, декабрь 2002 г.; 2003 г. N 6, 7, решение вынесено Тихвинским городским судом Ленинградской области от 25.05.2004;";
5;"Кинофильм ""Вечный жид"", решение вынесено Тихвинским городским судом Ленинградской области от 25.05.2004;";
6;"Брошюра ""Мать-земля: чудо-чудное, диво-дивное. Введение в геобиологию"", автор - А.А. Добровольский, источник публикации - КОГУП ""Котельничская типография"", решение вынесено Котельничским районным судом Кировской области от 09.03.2005;";
7;"Брошюра ""Язычество как волшебство"", автор - А.А. Добровольский, источник публикации - КОГУП ""Котельничская типография"", решение вынесено Котельничским районным судом Кировской области от 09.03.2005;";
8;"Брошюра ""Кто боится Русского национал-социализма"", автор - А.А. Добровольский, источник публикации - КОГУП ""Кировская областная типография"", решение вынесено Первомайским районным судом Кировской области от 29.07.2005;";
9;"Брошюра ""Иудохристианская чума"", автор - А.А. Добровольский, источник публикации - КОГУП ""Кировская областная типография"", решение вынесено Первомайским районным судом Кировской области от 29.07.2005;";
10;"Брошюра ""Святославие"", автор - А.А. Добровольский, источник публикации - типография завода ""Маяк"", решение вынесено Ленинским районным судом города Кирова от 19.05.2005;";
11;"Статья ""Однажды мы придем с гнилыми помидорами..."", автор - А.А. Николаенко, источник публикации - газета ""Беловская копейка"" N 1 от 11 ноября 2002 года, решение вынесено Беловским городским судом Кемеровской области от 26.12.2005;";
12;"Статья ""СС стучится в Вашу дверь, сволочи..."", автор - А.А. Николаенко, источник публикации - газета ""Курс"" N 49 от 6 декабря 2002 года, решение вынесено Беловским городским судом Кемеровской области от 26.12.2005;";
13;"Статья ""Исполняющий обязанности властителя дум"", автор - А.А. Николаенко, источник публикации - газета ""Курс"" N 8 от 21 февраля 2003 года, решение вынесено Беловским городским судом Кемеровской области от 26.12.2005;";
14;"Статья ""Самая конструктивная партия"", автор - А.А. Николаенко, источник публикации - газета ""Курс"" N 43 от 22 октября 2004 года, решение вынесено Беловским городским судом Кемеровской области от 09.09.2005.";
15;"Книга ""Сквозь призму ислама"", автор – Абд-аль Хади ибн Али (решение Нальчикского городского суда от 15.01.2004).";
16;"Газеты ""Я русский. Нижнее Поволжье"" № 1 и № 2, 2005 г. (решение Знаменского городского суда Астраханской области от 03.07.2007).";
17;Брошюра «Церберы свободы» № 11, 2005г. (решение Знаменского городского суда Астраханской области от 03.07.2007).;
18;"Информационные материалы – отклики на материалы по событиям в Харагуне на сайте «Народный контроль», стр.4, газета ""Русское Забайкалье"", № 7 от 11.09.2006 (решение Центрального районного суда г. Читы от 18.04.2007).";
19;Журнал «Вихрь. Национал-социалистическое издание Вятка № 1» (решение Шабалинского районного суда Кировской области от 19.07.2007).;
20;"Газета русского государства ""Весть"", автор – Вострягов В.А. Издавалась в ООО «Сандерс» (средство массовой информации). Решение Заволжского районного суда города Ульяновск от 12.07.2007.";
21;"Брошюра ""Русское Государство"", автор – Вострягов В.А. Издавалась в ООО «Сандерс» (средство массовой информации. Решение Заволжского районного суда города Ульяновск от 12.07.2007)";
22;"Брошюра ""Государство - это Мы"", автор – Вострягов В.А. Издавалась в ООО «Сандерс» (средство массовой информации). Решение Заволжского районного суда города Ульяновск от 12.07.2007.";
23;"Брошюра ""Каббала"", автор – Вострягов В.А. Издавалась в ООО «Сандерс» (средство массовой информации). Решение Заволжского районного суда города Ульяновск от 12.07.2007.";
24;"Брошюра ""Каббала - 2"", автор – Вострягов В.А. Издавалась в ООО «Сандерс» (средство массовой информации). Решение Заволжского районного суда города Ульяновск от 12.07.2007.";
